tool	rank	metric	sample	value
Gold standard	acellular root	Bray-Curtis distance	0	0.0
Gold standard	cellular root	Bray-Curtis distance	0	0.0
Gold standard	other entries	Bray-Curtis distance	0	0.0
Gold standard	realm	Bray-Curtis distance	0	0.0
Gold standard	domain	Bray-Curtis distance	0	0.0
Gold standard	kingdom	Bray-Curtis distance	0	0.0
Gold standard	phylum	Bray-Curtis distance	0	0.0
Gold standard	class	Bray-Curtis distance	0	0.0
Gold standard	order	Bray-Curtis distance	0	0.0
Gold standard	family	Bray-Curtis distance	0	0.0
Gold standard	genus	Bray-Curtis distance	0	0.0
Gold standard	species	Bray-Curtis distance	0	0.0
Gold standard	strain	Bray-Curtis distance	0	0.0
Gold standard	acellular root	Shannon diversity	0	0.3517511445154202
Gold standard	acellular root	Shannon equitability	0	0.0
Gold standard	cellular root	Shannon diversity	0	0.34761070378041936
Gold standard	cellular root	Shannon equitability	0	0.0
Gold standard	other entries	Shannon diversity	0	0.08213281387761993
Gold standard	other entries	Shannon equitability	0	0.0
Gold standard	realm	Shannon diversity	0	0.5865217394083264
Gold standard	realm	Shannon equitability	0	0.5338750944788625
Gold standard	domain	Shannon diversity	0	0.39629656377974487
Gold standard	domain	Shannon equitability	0	0.5717350872863748
Gold standard	kingdom	Shannon diversity	0	1.3375694005729433
Gold standard	kingdom	Shannon equitability	0	0.5808990098314695
Gold standard	phylum	Shannon diversity	0	1.4475158259013563
Gold standard	phylum	Shannon equitability	0	0.5008061063241809
Gold standard	class	Shannon diversity	0	1.6954426545033394
Gold standard	class	Shannon equitability	0	0.5203782744672498
Gold standard	order	Shannon diversity	0	1.7065494870201814
Gold standard	order	Shannon equitability	0	0.45372472469614794
Gold standard	family	Shannon diversity	0	2.592326439010098
Gold standard	family	Shannon equitability	0	0.6004246846407204
Gold standard	genus	Shannon diversity	0	3.47727367727534
Gold standard	genus	Shannon equitability	0	0.6868559808933107
Gold standard	species	Shannon diversity	0	4.232657106637071
Gold standard	species	Shannon equitability	0	0.7643853346270999
Gold standard	strain	Shannon diversity	0	4.332089648261114
Gold standard	strain	Shannon equitability	0	0.7547466806805656
Gold standard	acellular root	True positives	0	1.0
Gold standard	acellular root	False negatives	0	0.0
Gold standard	acellular root	False positives	0	0.0
Gold standard	acellular root	Completeness	0	1.0
Gold standard	acellular root	Purity	0	1.0
Gold standard	acellular root	F1 score	0	1.0
Gold standard	acellular root	Jaccard index	0	1.0
Gold standard	cellular root	True positives	0	1.0
Gold standard	cellular root	False negatives	0	0.0
Gold standard	cellular root	False positives	0	0.0
Gold standard	cellular root	Completeness	0	1.0
Gold standard	cellular root	Purity	0	1.0
Gold standard	cellular root	F1 score	0	1.0
Gold standard	cellular root	Jaccard index	0	1.0
Gold standard	other entries	True positives	0	1.0
Gold standard	other entries	False negatives	0	0.0
Gold standard	other entries	False positives	0	0.0
Gold standard	other entries	Completeness	0	1.0
Gold standard	other entries	Purity	0	1.0
Gold standard	other entries	F1 score	0	1.0
Gold standard	other entries	Jaccard index	0	1.0
Gold standard	realm	True positives	0	3.0
Gold standard	realm	False negatives	0	0.0
Gold standard	realm	False positives	0	0.0
Gold standard	realm	Completeness	0	1.0
Gold standard	realm	Purity	0	1.0
Gold standard	realm	F1 score	0	1.0
Gold standard	realm	Jaccard index	0	1.0
Gold standard	domain	True positives	0	2.0
Gold standard	domain	False negatives	0	0.0
Gold standard	domain	False positives	0	0.0
Gold standard	domain	Completeness	0	1.0
Gold standard	domain	Purity	0	1.0
Gold standard	domain	F1 score	0	1.0
Gold standard	domain	Jaccard index	0	1.0
Gold standard	kingdom	True positives	0	10.0
Gold standard	kingdom	False negatives	0	0.0
Gold standard	kingdom	False positives	0	0.0
